"","sort.plate","cell.name","num.genes","num.mouse.reads","num.rRNA.reads","__alignment_not_unique","__ambiguous","__no_feature","__not_aligned","__too_low_aQual","ercc.sum","sort.plate_color","frac.rRNA","htseq.sum","frac.mRNA","dissection","dissection_color","experiment","experiment_color","sum.counts","subtype","subtype_color"
"1","p1","fv1_NS_p1c10r2_F02",5619,818018,54514,129681,6619,397514,278206,26,11303,"#9E0142",0.0666415653445279,639945678,0.00119153213092194,"SV","#00BFC4","p1","#9E0142",818018,"SVv","#E7298A"
"2","p1","fv1_NS_p1c10r4_N03",6290,722687,55876,113418,5667,476356,256048,19,10624,"#9E0142",0.0773170127593273,639945678,0.00104078799437579,"SV","#00BFC4","p1","#9E0142",722687,"Mesenchymal.1","#D95F02"
"3","p1","fv1_NS_p1c10r5_J04",4621,597689,43242,126013,5608,440194,280186,15,13231,"#9E0142",0.0723486629333985,639945678,0.000865570664217885,"SV","#00BFC4","p1","#9E0142",597689,"SVv","#E7298A"
"4","p1","fv1_NS_p1c10r7_B06",5008,587606,54430,106898,3702,416720,237966,18,11242,"#9E0142",0.0926300956763546,639945678,0.000832379293488783,"SV","#00BFC4","p1","#9E0142",587606,"Venous.Valve.2","#E6AB02"
"5","p1","fv1_NS_p1c10r8_N06",2964,241296,72669,94744,1114,561311,297643,11,14750,"#9E0142",0.301161229361448,639945678,0.00026339666651698,"SV","#00BFC4","p1","#9E0142",241296,NA,NA
"6","p1","fv1_NS_p1c11r2_G02",4191,454793,37281,95675,4451,441180,287982,17,11065,"#9E0142",0.0819735572007485,639945678,0.000651943284169731,"SV","#00BFC4","p1","#9E0142",454793,"SVv","#E7298A"
"7","p1","fv1_NS_p1c11r3_C03",1616,67854,23230,48507,220,151344,204407,4,9654,"#9E0142",0.34235269844077,639945678,6.97224740855429e-05,"SV","#00BFC4","p1","#9E0142",67854,NA,NA
"8","p1","fv1_NS_p1c11r4_O03",5639,658212,55017,108632,4634,342121,256326,12,9724,"#9E0142",0.0835855317131866,639945678,0.000941589418048228,"SV","#00BFC4","p1","#9E0142",658212,"Venous.Valve.1","#66A61E"
"9","p1","fv1_NS_p1c11r6_G05",4129,451705,53394,95766,3274,401364,297399,15,12423,"#9E0142",0.118205465956764,639945678,0.000621962681189747,"SV","#00BFC4","p1","#9E0142",451705,"Mesenchymal.2","#7570B3"
"10","p1","fv1_NS_p1c11r7_C06",4875,575857,54003,93391,3480,364746,229686,19,10826,"#9E0142",0.0937784901459911,639945678,0.000814719180128987,"SV","#00BFC4","p1","#9E0142",575857,"Venous.Valve.1","#66A61E"
"11","p1","fv1_NS_p1c11r8_O06",2398,179178,28111,53467,1849,233223,265750,6,14323,"#9E0142",0.156888680529976,639945678,0.000235990867229807,"SV","#00BFC4","p1","#9E0142",179178,NA,NA
"12","p1","fv1_NS_p1c12r1_L01",4419,373635,32690,65951,2353,294732,258821,16,7198,"#9E0142",0.0874918034980663,639945678,0.000532454918144132,"SV","#00BFC4","p1","#9E0142",373635,"Venous.Valve.2","#E6AB02"
"13","p1","fv1_NS_p1c12r2_H02",5316,478695,44257,106629,2720,471486,346461,12,6500,"#9E0142",0.0924534411263957,639945678,0.000678352681476646,"SV","#00BFC4","p1","#9E0142",478695,"Venous.Valve.1","#66A61E"
"14","p1","fv1_NS_p1c12r3_D03",4085,439936,36359,88783,2252,367173,246719,9,12953,"#9E0142",0.082646112161769,639945678,0.000630196600674204,"SV","#00BFC4","p1","#9E0142",439936,"Venous.Valve.1","#66A61E"
"15","p1","fv1_NS_p1c12r4_P03",6252,805381,70662,130684,7113,432102,259408,21,7790,"#9E0142",0.0877373566051347,639945678,0.00114663886600497,"SV","#00BFC4","p1","#9E0142",805381,"Venous.Valve.2","#E6AB02"
"16","p1","fv1_NS_p1c12r6_H05",4801,467817,50292,92320,3193,322818,200983,13,6970,"#9E0142",0.107503575115911,639945678,0.000651954493677831,"SV","#00BFC4","p1","#9E0142",467817,"Venous.Valve.2","#E6AB02"
"17","p1","fv1_NS_p1c1r1_A01",5166,642366,59656,124929,4270,490651,268591,19,8142,"#9E0142",0.0928691742713655,639945678,0.000909637011170084,"SV","#00BFC4","p1","#9E0142",642366,"Venous.Valve.1","#66A61E"
"18","p1","fv1_NS_p1c1r3_I02",1827,144596,71088,64960,844,96685,275594,4,11417,"#9E0142",0.491631857036156,639945678,0.000114838003138495,"SV","#00BFC4","p1","#9E0142",144596,NA,NA
"19","p1","fv1_NS_p1c1r5_A04",2827,37943,4687,5389,364,13021,177102,2,711,"#9E0142",0.123527396357694,639945678,5.19637721381194e-05,"SV","#00BFC4","p1","#9E0142",37943,NA,NA
"20","p1","fv1_NS_p1c1r8_E06",3373,460134,58491,84237,3599,189822,281878,8,18505,"#9E0142",0.12711731799867,639945678,0.00062715138906877,"SV","#00BFC4","p1","#9E0142",460134,NA,NA
"21","p1","fv1_NS_p1c2r1_B01",4152,285295,36552,40443,1920,121760,149627,8,5805,"#9E0142",0.128120016123661,639945678,0.000388517199491512,"SV","#00BFC4","p1","#9E0142",285295,"Venous.Valve.2","#E6AB02"
"22","p1","fv1_NS_p1c2r2_N01",5128,723812,78038,120248,5465,362048,310436,12,14340,"#9E0142",0.107815289052959,639945678,0.0010079449016217,"SV","#00BFC4","p1","#9E0142",723812,"SVv","#E7298A"
"23","p1","fv1_NS_p1c2r4_F03",5909,705914,62620,132320,3957,590745,283221,23,8194,"#9E0142",0.0887076896052494,639945678,0.00100411172053805,"SV","#00BFC4","p1","#9E0142",705914,"SVv","#E7298A"
"24","p1","fv1_NS_p1c2r5_B04",4396,587256,51282,108767,4378,362315,282230,19,11101,"#9E0142",0.0873247782908987,639945678,0.000836748093360984,"SV","#00BFC4","p1","#9E0142",587256,"SVv","#E7298A"
"25","p1","fv1_NS_p1c2r6_N04",4483,516073,91886,121441,3176,490097,285030,12,11572,"#9E0142",0.178048454385329,639945678,0.00066230237039866,"SV","#00BFC4","p1","#9E0142",516073,"Venous.Valve.1","#66A61E"
"26","p1","fv1_NS_p1c2r7_J05",4460,631839,54457,107353,4503,480446,296895,18,12845,"#9E0142",0.0861880953850585,639945678,0.000901327953479303,"SV","#00BFC4","p1","#9E0142",631839,"Venous.Valve.1","#66A61E"
"27","p1","fv1_NS_p1c2r8_F06",6368,906366,93812,140153,6362,581495,311000,21,7614,"#9E0142",0.103503441214697,639945678,0.00126791254505831,"SV","#00BFC4","p1","#9E0142",906366,"Venous.Valve.2","#E6AB02"
"28","p1","fv1_NS_p1c3r2_O01",5177,740186,53697,153691,6418,511867,290483,19,15486,"#9E0142",0.0725452791595626,639945678,0.00107146488765786,"SV","#00BFC4","p1","#9E0142",740186,"SVv","#E7298A"
"29","p1","fv1_NS_p1c3r3_K02",4500,477913,25046,80707,3102,347512,227590,15,11713,"#9E0142",0.0524070280574079,639945678,0.000707123728457049,"SV","#00BFC4","p1","#9E0142",477913,"Venous.Valve.1","#66A61E"
"30","p1","fv1_NS_p1c3r4_G03",3584,413047,93453,77344,2924,291881,335928,15,20583,"#9E0142",0.226252702476958,639945678,0.000499069841900623,"SV","#00BFC4","p1","#9E0142",413047,NA,NA
"31","p1","fv1_NS_p1c3r5_C04",3607,266135,20496,73700,2001,480918,281089,20,9587,"#9E0142",0.0770135457568527,639945678,0.000383678208819682,"SV","#00BFC4","p1","#9E0142",266135,"SVv","#E7298A"
"32","p1","fv1_NS_p1c3r6_O04",3411,251149,25519,58650,2552,261664,197652,9,10082,"#9E0142",0.10160900501296,639945678,0.000352432935084135,"SV","#00BFC4","p1","#9E0142",251149,NA,NA
"33","p1","fv1_NS_p1c4r1_D01",1432,459907,40185,200668,61176,120257,259772,8,13925,"#9E0142",0.0873763608729591,639945678,0.000655386029697946,"SV","#00BFC4","p1","#9E0142",459907,NA,NA
"34","p1","fv1_NS_p1c4r4_H03",3592,332524,31757,56737,2041,257592,203493,10,9670,"#9E0142",0.095502880995056,639945678,0.000469737149730087,"SV","#00BFC4","p1","#9E0142",332524,"SVv","#E7298A"
"35","p1","fv1_NS_p1c4r5_D04",4331,507852,51190,98846,6483,422681,220840,9,12219,"#9E0142",0.10079708261462,639945678,0.00071301549023195,"SV","#00BFC4","p1","#9E0142",507852,"Venous.Valve.2","#E6AB02"
"36","p1","fv1_NS_p1c4r6_P04",4101,344351,39013,64174,2061,274523,209229,14,8452,"#9E0142",0.113294284029958,639945678,0.000476868224836502,"SV","#00BFC4","p1","#9E0142",344351,"SVv","#E7298A"
"37","p1","fv1_NS_p1c4r7_L05",4343,487231,50133,93393,3330,431684,275239,19,11337,"#9E0142",0.102893699292533,639945678,0.000682491883922665,"SV","#00BFC4","p1","#9E0142",487231,"Venous.Valve.2","#E6AB02"
"38","p1","fv1_NS_p1c4r8_H06",4274,430941,48839,78011,2505,326865,219928,6,9775,"#9E0142",0.113331059240128,639945678,0.000596674138582665,"SV","#00BFC4","p1","#9E0142",430941,"SVv","#E7298A"
"39","p1","fv1_NS_p1c5r1_E01",5061,520745,53717,92586,2740,509537,352552,17,9143,"#9E0142",0.103154134941286,639945678,0.000729189409858,"SV","#00BFC4","p1","#9E0142",520745,"Venous.Valve.2","#E6AB02"
"40","p1","fv1_NS_p1c5r2_A02",62,80,15,10,1,62,419,0,2,"#9E0142",0.1875,639945678,1.01571108190868e-07,"SV","#00BFC4","p1","#9E0142",80,NA,NA
"41","p1","fv1_NS_p1c5r3_M02",2965,278622,23875,71903,1638,449062,284500,13,9300,"#9E0142",0.0856895722520117,639945678,0.000397896955111388,"SV","#00BFC4","p1","#9E0142",278622,NA,NA
"42","p1","fv1_NS_p1c5r4_I03",4225,431856,26646,75130,3982,448056,272690,11,9107,"#9E0142",0.061701122596421,639945678,0.00063275835886778,"SV","#00BFC4","p1","#9E0142",431856,NA,NA
"43","p1","fv1_NS_p1c5r5_E04",4873,431343,47177,94737,3403,358872,179675,15,9073,"#9E0142",0.109372355642725,639945678,0.000599897473726241,"SV","#00BFC4","p1","#9E0142",431343,"Venous.Valve.2","#E6AB02"
"44","p1","fv1_NS_p1c5r6_A05",2428,262376,25658,42448,2982,62663,229476,6,14656,"#9E0142",0.0977909564899229,639945678,0.000369743210140161,"SV","#00BFC4","p1","#9E0142",262376,NA,NA
"45","p1","fv1_NS_p1c5r7_M05",4598,350481,57235,75272,2335,252989,173795,5,5084,"#9E0142",0.163304144875186,639945678,0.000457981306776878,"SV","#00BFC4","p1","#9E0142",350481,"SVv","#E7298A"
"46","p1","fv1_NS_p1c5r8_I06",4072,431114,49386,67395,4455,321370,189010,11,15376,"#9E0142",0.114554387006685,639945678,0.000596084741623537,"SV","#00BFC4","p1","#9E0142",431114,"Venous.Valve.1","#66A61E"
"47","p1","fv1_NS_p1c6r1_F01",5271,609480,41691,102425,4580,465403,294892,22,9997,"#9E0142",0.0684042134278401,639945678,0.000886387583789228,"SV","#00BFC4","p1","#9E0142",609480,"SVv","#E7298A"
"48","p1","fv1_NS_p1c6r2_B02",4716,483069,36879,86031,3002,436561,271273,25,10528,"#9E0142",0.0763431311054942,639945678,0.000696693687313288,"SV","#00BFC4","p1","#9E0142",483069,"Venous.Valve.1","#66A61E"
"49","p1","fv1_NS_p1c6r3_N02",5442,616109,55595,114902,4442,536943,250230,22,12417,"#9E0142",0.0902356563530155,639945678,0.000875018064261601,"SV","#00BFC4","p1","#9E0142",616109,"Venous.Valve.1","#66A61E"
"50","p1","fv1_NS_p1c6r4_J03",5064,706938,66007,114860,4021,398273,227289,17,13439,"#9E0142",0.0933702814108168,639945678,0.00100041354618041,"SV","#00BFC4","p1","#9E0142",706938,"Venous.Valve.1","#66A61E"
"51","p1","fv1_NS_p1c6r6_B05",5142,711887,60293,126765,4583,444915,278882,22,13378,"#9E0142",0.0846946214778469,639945678,0.00101704940284764,"SV","#00BFC4","p1","#9E0142",711887,"SVv","#E7298A"
"52","p1","fv1_NS_p1c6r7_N05",342,17185,11782,10716,36,62642,144407,3,6019,"#9E0142",0.68559790514984,639945678,8.44259799492875e-06,"SV","#00BFC4","p1","#9E0142",17185,NA,NA
"53","p1","fv1_NS_p1c6r8_J06",6914,624934,58885,106532,4466,307861,165280,19,6357,"#9E0142",0.0942259502603475,639945678,0.000883654935149525,"SV","#00BFC4","p1","#9E0142",624934,"Venous.Valve.1","#66A61E"
"54","p1","fv1_NS_p1c7r1_G01",4509,359042,24788,60644,2576,346187,277531,10,6365,"#9E0142",0.0690392767419968,639945678,0.000522018137480762,"SV","#00BFC4","p1","#9E0142",359042,"Mesenchymal.1","#D95F02"
"55","p1","fv1_NS_p1c7r3_O02",4900,276088,18810,51500,1644,234780,178801,16,4655,"#9E0142",0.0681304511604996,639945678,0.000401854705711968,"SV","#00BFC4","p1","#9E0142",276088,"Mesenchymal.2","#7570B3"
"56","p1","fv1_NS_p1c7r4_K03",3586,336838,16944,81633,3289,675317,204086,17,17432,"#9E0142",0.0503031130691905,639945678,0.000499600227985675,"SV","#00BFC4","p1","#9E0142",336838,"Venous.Valve.2","#E6AB02"
"57","p1","fv1_NS_p1c7r5_G04",5805,372607,31120,74116,4323,251914,146237,9,4612,"#9E0142",0.0835196332865459,639945678,0.000533304371278742,"SV","#00BFC4","p1","#9E0142",372607,"Venous.Valve.2","#E6AB02"
"58","p1","fv1_NS_p1c7r7_O05",4597,485953,45564,79998,2985,315904,225593,8,10104,"#9E0142",0.0937621539531601,639945678,0.000687633200543991,"SV","#00BFC4","p1","#9E0142",485953,"SVv","#E7298A"
"59","p1","fv1_NS_p1c7r8_K06",6535,922593,78628,170880,7201,607990,330067,23,11274,"#9E0142",0.0852250125461607,639945678,0.00131688553111797,"SV","#00BFC4","p1","#9E0142",922593,"SVv","#E7298A"
"60","p1","fv1_NS_p1c8r4_L03",3859,439333,33762,84554,3102,394177,230819,14,15503,"#9E0142",0.0768483132384774,639945678,0.000633308361148499,"SV","#00BFC4","p1","#9E0142",439333,"Venous.Valve.2","#E6AB02"
"61","p1","fv1_NS_p1c8r5_H04",1995,162725,71833,33029,626,83200,207755,6,19526,"#9E0142",0.441438008910739,639945678,0.00014199036767848,"SV","#00BFC4","p1","#9E0142",162725,NA,NA
"62","p1","fv1_NS_p1c8r7_P05",2338,209299,15644,72662,944,595126,290067,6,18390,"#9E0142",0.0747447431664748,639945678,0.000302503993422132,"SV","#00BFC4","p1","#9E0142",209299,NA,NA
"63","p1","fv1_NS_p1c9r3_A03",4409,445274,42559,83887,2773,308486,203139,16,11741,"#9E0142",0.0955793511410951,639945678,0.000628846512361614,"SV","#00BFC4","p1","#9E0142",445274,"Venous.Valve.1","#66A61E"
"64","p1","fv1_NS_p1c9r4_M03",5199,520503,55968,117640,4449,548594,284032,21,11746,"#9E0142",0.107526757770849,639945678,0.000725294316036629,"SV","#00BFC4","p1","#9E0142",520503,"Venous.Valve.1","#66A61E"
"65","p1","fv1_NS_p1c9r5_I04",6436,753497,76237,130892,4244,564157,269892,26,6175,"#9E0142",0.1011775760222,639945678,0.00105705376113996,"SV","#00BFC4","p1","#9E0142",753497,"Mesenchymal.1","#D95F02"
"66","p1","fv1_NS_p1c9r6_E05",5812,454506,35800,97073,3562,392647,260594,10,6366,"#9E0142",0.0787668369614482,639945678,0.000653812800634257,"SV","#00BFC4","p1","#9E0142",454506,"Mesenchymal.1","#D95F02"
"67","p1","fv1_NS_p1c9r7_A06",4098,264680,26860,36452,1784,154066,132754,6,7259,"#9E0142",0.101481033701073,639945678,0.000371467441202866,"SV","#00BFC4","p1","#9E0142",264680,"Venous.Valve.1","#66A61E"
"68","p1","fv1_NS_p1c9r8_M06",4973,644167,76245,115558,4492,421071,299331,19,10912,"#9E0142",0.118362163848816,639945678,0.000886545939564054,"SV","#00BFC4","p1","#9E0142",644167,"Mesenchymal.2","#7570B3"
"69","p10","fv1_NS_p10c10r3_K10",4660,336761,47813,63038,2030,175952,113695,1,6437,"#5E4FA2",0.14197902963823,639945678,0.000451277557413032,"CV","#F8766D","p10","#5E4FA2",336761,"Endocardial","#1B9E77"
"70","p10","fv1_NS_p10c10r6_N12",4918,327528,46173,71740,2539,319099,143870,7,6140,"#5E4FA2",0.140974206785374,639945678,0.000439425387930625,"CV","#F8766D","p10","#5E4FA2",327528,"Venous.Valve.2","#E6AB02"
"71","p10","fv1_NS_p10c10r8_C14",3491,106921,8307,31877,945,162312,45927,1,4101,"#5E4FA2",0.0776928760486714,639945678,0.000154070725296718,"CV","#F8766D","p10","#5E4FA2",106921,NA,NA
"72","p10","fv1_NS_p10c11r2_P09",5110,573999,81439,112305,3580,394815,194483,5,8713,"#5E4FA2",0.141880038118533,639945678,0.000768990114552115,"CV","#F8766D","p10","#5E4FA2",573999,"Venous.Valve.2","#E6AB02"
"73","p10","fv1_NS_p10c11r3_L10",3904,194402,40498,69241,1760,409976,163089,4,6196,"#5E4FA2",0.208320902048333,639945678,0.000240420050494849,"CV","#F8766D","p10","#5E4FA2",194402,"SVv","#E7298A"
"74","p10","fv1_NS_p10c12r3_M10",3904,284520,41166,59143,2120,206919,127101,2,7559,"#5E4FA2",0.144685786587938,639945678,0.000380099419847291,"CV","#F8766D","p10","#5E4FA2",284520,"Venous.Valve.2","#E6AB02"
"75","p10","fv1_NS_p10c12r5_D12",2619,137063,41773,43726,810,118524,74660,1,11492,"#5E4FA2",0.304772258012739,639945678,0.000148868705711291,"CV","#F8766D","p10","#5E4FA2",137063,NA,NA
"76","p10","fv1_NS_p10c12r7_J13",5079,222054,19231,49998,1692,177785,66975,2,4738,"#5E4FA2",0.086605060030443,639945678,0.00031682555796253,"CV","#F8766D","p10","#5E4FA2",222054,"Endocardial","#1B9E77"
"77","p10","fv1_NS_p10c1r1_J08",4218,1408151,327893,250678,7338,902558,446483,14,30501,"#5E4FA2",0.232853578913057,639945678,0.00168426004420785,"CV","#F8766D","p10","#5E4FA2",1408151,"Endocardial","#1B9E77"
"78","p10","fv1_NS_p10c1r3_B10",4983,1333613,225076,229399,10173,759947,411983,8,23472,"#5E4FA2",0.168771600156867,639945678,0.00172857044122854,"CV","#F8766D","p10","#5E4FA2",1333613,"Venous.Valve.1","#66A61E"
"79","p10","fv1_NS_p10c1r4_N10",4139,1015927,190431,181376,7208,712081,373474,4,24469,"#5E4FA2",0.187445554651072,639945678,0.00128785325217529,"CV","#F8766D","p10","#5E4FA2",1015927,"Endocardial","#1B9E77"
"80","p10","fv1_NS_p10c1r7_A13",3274,289959,30468,83552,3171,154656,87557,1,14803,"#5E4FA2",0.10507692466866,639945678,0.000405296090073781,"CV","#F8766D","p10","#5E4FA2",289959,NA,NA
"81","p10","fv1_NS_p10c1r8_K13",1139,57614,6176,10239,444,8702,33350,0,14576,"#5E4FA2",0.107196167598153,639945678,8.03696311804103e-05,"CV","#F8766D","p10","#5E4FA2",57614,NA,NA
"82","p10","fv1_NS_p10c2r5_J11",4163,386871,81864,82804,2545,264356,168046,3,13671,"#5E4FA2",0.21160541886055,639945678,0.000476315765555735,"CV","#F8766D","p10","#5E4FA2",386871,"Venous.Valve.1","#66A61E"
"83","p10","fv1_NS_p10c3r3_D10",4994,648704,91084,113735,4053,317698,198106,4,13027,"#5E4FA2",0.140409185082873,639945678,0.000870455121445568,"CV","#F8766D","p10","#5E4FA2",648704,"Endocardial","#1B9E77"
"84","p10","fv1_NS_p10c3r5_K11",2494,106445,44220,41629,546,100841,85421,3,9735,"#5E4FA2",0.415425806754662,639945678,9.72171661570709e-05,"CV","#F8766D","p10","#5E4FA2",106445,NA,NA
"85","p10","fv1_NS_p10c3r7_B13",6147,253733,25259,58467,2492,187434,58732,1,2968,"#5E4FA2",0.0995495264707389,639945678,0.000356877774113973,"CV","#F8766D","p10","#5E4FA2",253733,"Endocardial","#1B9E77"
"86","p10","fv1_NS_p10c4r1_M08",5494,555119,77792,93703,3468,302489,185647,2,6715,"#5E4FA2",0.140135718647713,639945678,0.000745232477460833,"CV","#F8766D","p10","#5E4FA2",555119,"Endocardial","#1B9E77"
"87","p10","fv1_NS_p10c4r2_I09",6263,862155,124119,147537,5066,417378,230175,9,8896,"#5E4FA2",0.143963672425492,639945678,0.0011517115059585,"CV","#F8766D","p10","#5E4FA2",862155,"Venous.Valve.1","#66A61E"
"88","p10","fv1_NS_p10c4r8_M13",3402,83890,10168,28522,627,77246,32302,1,2877,"#5E4FA2",0.121206341637859,639945678,0.000115184785671296,"CV","#F8766D","p10","#5E4FA2",83890,NA,NA
"89","p10","fv1_NS_p10c5r7_D13",3514,74737,9332,19105,673,68067,26952,2,2674,"#5E4FA2",0.124864524934102,639945678,0.000102191625777404,"CV","#F8766D","p10","#5E4FA2",74737,NA,NA
"90","p10","fv1_NS_p10c5r8_N13",3291,51999,4049,14255,413,48703,17149,1,2270,"#5E4FA2",0.0778668820554241,639945678,7.49218812045038e-05,"CV","#F8766D","p10","#5E4FA2",51999,NA,NA
"91","p10","fv1_NS_p10c6r3_G10",4100,195747,29529,39421,1351,167951,110611,3,4442,"#5E4FA2",0.150852886634278,639945678,0.000259656444833389,"CV","#F8766D","p10","#5E4FA2",195747,"Venous.Valve.2","#E6AB02"
"92","p10","fv1_NS_p10c6r4_B11",5785,593296,102755,105007,2948,296648,191076,4,5845,"#5E4FA2",0.173193481837059,639945678,0.00076581838686296,"CV","#F8766D","p10","#5E4FA2",593296,"Endocardial","#1B9E77"
"93","p10","fv1_NS_p10c7r2_L09",5308,665862,126390,128734,6083,254276,187978,0,8256,"#5E4FA2",0.18981410562549,639945678,0.000842109474868624,"CV","#F8766D","p10","#5E4FA2",665862,"Venous.Valve.1","#66A61E"
"94","p10","fv1_NS_p10c7r5_O11",4447,213163,34029,42089,1619,132019,81099,2,4759,"#5E4FA2",0.159638398784029,639945678,0.000279825344646323,"CV","#F8766D","p10","#5E4FA2",213163,"Endocardial","#1B9E77"
"95","p10","fv1_NS_p10c7r8_P13",5785,211548,19317,44921,1937,155101,48674,2,2910,"#5E4FA2",0.0913126099041352,639945678,0.000300285802238731,"CV","#F8766D","p10","#5E4FA2",211548,"Mesenchymal.2","#7570B3"
