"","sort.plate","cell.name","num.genes","num.mouse.reads","num.rRNA.reads","__alignment_not_unique","__ambiguous","__no_feature","__not_aligned","__too_low_aQual","ercc.sum","sort.plate_color","frac.rRNA","htseq.sum","frac.mRNA","dissection","dissection_color","subtype","subtype_color"
"1","p1","fv1_NS_p1c10r2_F02",5619,818018,54514,129681,6619,397514,278206,26,11303,"#9E0142",0.0666415653445279,639945678,0.00119153213092194,"SV","#00BFC4","SVv","#E7298A"
"2","p1","fv1_NS_p1c10r4_N03",6290,722687,55876,113418,5667,476356,256048,19,10624,"#9E0142",0.0773170127593273,639945678,0.00104078799437579,"SV","#00BFC4","Mesenchymal.1","#D95F02"
"3","p1","fv1_NS_p1c10r5_J04",4621,597689,43242,126013,5608,440194,280186,15,13231,"#9E0142",0.0723486629333985,639945678,0.000865570664217885,"SV","#00BFC4","SVv","#E7298A"
"4","p1","fv1_NS_p1c10r6_F05",4168,301896,21160,60606,2836,386329,270227,7,7597,"#9E0142",0.0700903622439516,639945678,0.000438475177891196,"SV","#00BFC4","SVv","#E7298A"
"5","p1","fv1_NS_p1c10r7_B06",5008,587606,54430,106898,3702,416720,237966,18,11242,"#9E0142",0.0926300956763546,639945678,0.000832379293488783,"SV","#00BFC4","Venous.Valve.2","#E6AB02"
"6","p1","fv1_NS_p1c11r2_G02",4191,454793,37281,95675,4451,441180,287982,17,11065,"#9E0142",0.0819735572007485,639945678,0.000651943284169731,"SV","#00BFC4","Venous.Valve.2","#E6AB02"
"7","p1","fv1_NS_p1c11r4_O03",5639,658212,55017,108632,4634,342121,256326,12,9724,"#9E0142",0.0835855317131866,639945678,0.000941589418048228,"SV","#00BFC4","Venous.Valve.1","#66A61E"
"8","p1","fv1_NS_p1c11r6_G05",4129,451705,53394,95766,3274,401364,297399,15,12423,"#9E0142",0.118205465956764,639945678,0.000621962681189747,"SV","#00BFC4","Mesenchymal.2","#7570B3"
"9","p1","fv1_NS_p1c11r7_C06",4875,575857,54003,93391,3480,364746,229686,19,10826,"#9E0142",0.0937784901459911,639945678,0.000814719180128987,"SV","#00BFC4","Venous.Valve.2","#E6AB02"
"10","p1","fv1_NS_p1c12r1_L01",4419,373635,32690,65951,2353,294732,258821,16,7198,"#9E0142",0.0874918034980663,639945678,0.000532454918144132,"SV","#00BFC4","Venous.Valve.2","#E6AB02"
